date,trades,net_pnl,cumulative_pnl,capital
2022-09-29,7,3.19147539050904e-39,-99999.99999999978,2.881785593228292e-38
2022-09-30,4,-1.6034959729642813e-39,-99999.99999999978,2.721435995931864e-38
2022-10-03,15,-5.0744994208980213e-39,-99999.99999999978,2.2139860538420624e-38
2022-10-04,13,3.260104417464278e-39,-99999.99999999978,2.53999649558849e-38
2022-10-05,7,-2.337118908963121e-39,-99999.99999999978,2.306284604692178e-38
2022-10-06,3,6.989714011490816e-42,-99999.99999999978,2.306983576093327e-38
2022-10-10,1,-3.015826133958418e-40,-99999.99999999978,2.2768253147537429e-38
2022-10-11,2,1.0410146984886922e-39,-99999.99999999978,2.380926784602612e-38
2022-10-12,5,-1.5664538214675846e-39,-99999.99999999978,2.2242814024558534e-38
2022-10-13,5,-1.4750143158313254e-39,-99999.99999999978,2.0767799708727208e-38
2022-10-14,6,-1.6475817131586004e-39,-99999.99999999978,1.9120217995568608e-38
2022-10-17,2,-5.022539130347558e-40,-99999.99999999978,1.8617964082533852e-38
2022-10-18,8,-7.830117461724309e-40,-99999.99999999978,1.783495233636142e-38
2022-10-19,9,-2.1355136005975258e-39,-99999.99999999978,1.5699438735763895e-38
2022-10-20,9,-1.000510065780426e-39,-99999.99999999978,1.4698928669983466e-38
2022-10-21,10,-1.8456036771158987e-39,-99999.99999999978,1.285332499286757e-38
2022-10-24,9,-1.3766662927337213e-39,-99999.99999999978,1.147665870013385e-38
2022-10-25,4,-6.160658644142536e-40,-99999.99999999978,1.0860592835719597e-38
2022-10-26,7,-1.0088935654026483e-39,-99999.99999999978,9.851699270316951e-39
2022-10-27,6,-8.03722326466404e-40,-99999.99999999978,9.047976943850547e-39
2022-10-28,5,3.110782278552933e-40,-99999.99999999978,9.359055171705842e-39
2022-10-31,8,-2.2614195795966395e-40,-99999.99999999978,9.132913213746178e-39
2022-11-01,3,-3.6889919630019946e-40,-99999.99999999978,8.76401401744598e-39
2022-11-02,1,-1.2953025194476478e-40,-99999.99999999978,8.634483765501214e-39
2022-11-03,9,-7.378911315003377e-40,-99999.99999999978,7.896592634000877e-39
2022-11-07,9,-9.21279191151165e-40,-99999.99999999978,6.975313442849713e-39
2022-11-08,1,1.1405612522874158e-39,-99999.99999999978,8.115874695137128e-39
2022-11-09,1,-1.1546831404525553e-40,-99999.99999999978,8.000406381091873e-39
2022-11-11,13,7.568919842834951e-42,-99999.99999999978,8.007975300934709e-39
2022-11-14,2,-2.1069415269568984e-40,-99999.99999999978,7.797281148239019e-39
2022-11-15,5,-5.15801402564211e-40,-99999.99999999978,7.281479745674807e-39
2022-11-16,1,-8.718157408455516e-41,-99999.99999999978,7.194298171590252e-39
2022-11-17,16,-9.511749473887938e-40,-99999.99999999978,6.243123224201458e-39
2022-11-18,2,1.6022958112318e-40,-99999.99999999978,6.403352805324638e-39
2022-11-21,2,-1.7270529870548243e-40,-99999.99999999978,6.230647506619155e-39
2022-11-22,6,-3.746895276708334e-40,-99999.99999999978,5.8559579789483206e-39
2022-11-23,5,-3.754338470604637e-40,-99999.99999999978,5.4805241318878574e-39
2022-11-24,1,-7.322821978806672e-41,-99999.99999999978,5.4072959120997903e-39
2022-11-25,2,-1.4227070009126932e-40,-99999.99999999978,5.2650252120085206e-39
2022-11-28,4,-2.602062106894367e-40,-99999.99999999978,5.004819001319084e-39
2022-11-29,5,-3.235445628371599e-40,-99999.99999999978,4.681274438481923e-39
2022-11-30,6,-3.4787718276454137e-40,-99999.99999999978,4.333397255717382e-39
2022-12-01,15,-6.548536429565681e-40,-99999.99999999978,3.678543612760814e-39
2022-12-02,5,2.382533481321606e-40,-99999.99999999978,3.916796960892975e-39
